,key_0,type,size,age,gender,has_name,spay_neuter,intake_condition,pit_bull,intake_location,adopt_return,adopt_return_predict_proba,latitude,longitude
193,193,DOG,MED,4.0,Male,0,1,UNKNOWN,1,SANTA ROSA,0,0.23572108,38.486997,-122.749134
194,194,CAT,SMALL,14.0,Male,0,1,UNTREATABLE,0,SANTA ROSA,0,0.036848407,,
195,195,DOG,SMALL,3.0,Male,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.458384,-122.675588
196,196,CAT,SMALL,2.0,Male,0,1,HEALTHY,0,SANTA ROSA,0,0.039193645,38.446019,-122.766748
197,197,DOG,PUPPY,2.0,Male,0,1,HEALTHY,0,SANTA ROSA,0,0.065065384,38.458384,-122.675588
198,198,OTHER,SMALL,,Unknown,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
199,199,DOG,MED,3.0,Female,1,1,UNKNOWN,1,SANTA ROSA,0,0.12876101,38.446019,-122.766748
200,200,DOG,X-LRG,6.0,Male,1,1,HEALTHY,0,SONOMA COUNTY,0,0.058696322,38.06215,-122.53789
201,201,DOG,MED,3.0,Female,1,1,HEALTHY,0,SANTA ROSA,0,0.18567604,37.78008,-122.420168
202,202,DOG,X-LRG,8.0,Male,1,1,HEALTHY,0,SONOMA COUNTY,0,0.067715384,36.142341,-115.225859
203,203,CAT,SMALL,6.0,Female,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
204,204,DOG,TOY,4.0,Female,1,1,UNKNOWN,0,SANTA ROSA,0,0.15520494,38.458384,-122.675588
205,205,DOG,TOY,12.0,Male,1,1,UNKNOWN,0,SONOMA COUNTY,0,0.033920903,38.403734,-122.736775
206,206,DOG,SMALL,13.0,Female,1,1,UNKNOWN,0,SONOMA COUNTY,0,0.027746713,38.458965,-122.630156
207,207,DOG,MED,2.0,Male,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.403734,-122.736775
208,208,CAT,SMALL,,Male,0,1,UNTREATABLE,0,SONOMA COUNTY,0,0.015514044,,
209,209,DOG,SMALL,7.0,Male,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.458384,-122.675588
210,210,DOG,MED,2.0,Female,1,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.618857,-122.861927
